Nombre,Energia,Proteina,Carbohidratos,Azucares,Lipidos,Sodio,Unidad,Grupo,Peso Neto,,
Acelga cruda,22,2.2,4.3,0,0.1,0,1,1,98,,Grupos para ingredientes
Acelga picada cocida,19,1.9,3.9,0,0.1,0,1,1,72,,1 - Frutas y verduras
Alcachofa mediana cocida,25,1.4,5.7,0,0.2,0,1,1,48,,2 - Leguminosas y productos de origen animal
Apio cocido,20,0.9,4.5,0,0.2,0,1,1,113,,3 - Cereales
Apio crudo,22,0.9,4,0,0.2,0,1,1,135,,
Berenjena picada cocida,26,0.6,6.5,0,0.2,0,1,1,74,,
Berro crudo,17,0.6,0.4,0,0,0,1,1,28,,
Betabel crudo,19,0.8,4.3,0,0.1,0,1,1,39,,
Betabel crudo rallado,18,0.8,4.1,0,0.1,0,1,1,38,,
Bledos crudos,27,2.4,3.8,0,0.3,0,1,1,95,,
Brócoli cocido,26,2.7,4.6,0,0.4,0,1,1,92,,
Brócoli crudo,19,2.1,3.7,0,0.3,0,1,1,71,,
Calabacita alargada cruda,21,1.6,3.4,0,0.1,0,1,1,91,,
Calabacita redonda cruda,18,1.4,2.9,0,0.1,0,1,1,79,,
Calabaza de Castilla cocida,22,0.8,5.4,0,0.1,0,1,1,110,,
Cebolla blanca rebanada,23,0.6,5.4,0,0.1,0,1,1,58,,
Cebolla cocida,23,0.7,5.3,0,0.1,0,1,1,53,,
Cebolla morada rebanada,20,0.5,4.4,0,0.1,0,1,1,58,,
Cebollita de cambray sin raíz,23,1.3,5.3,0,0.1,0,1,1,72,,
Cebollitas en salmuera,24,0.9,6.7,0,0.2,0,1,1,95,,
Champiñón cocido entero,20,2.8,3.2,0,0.3,0,1,1,78,,
Champiñón cocido rebanado,55,7.5,8.5,0,0.7,0,1,1,210,,
Champiñón crudo entero,20,2.9,3.1,0,0.3,0,1,1,93,,
Champiñón crudo rebanado,23,3.2,3.4,0,0.4,0,1,1,105,,
Chayote cocido picado,19,0.5,4.1,0,0.4,0,1,1,80,,
Chayote crudo,19,0.8,4.5,0,0.1,0,1,1,100,,
Chepil crudo,26,2.8,3,0,0.2,0,1,1,41,,
Chícharo cocido sin vaina,27,1.7,4.9,0,0.1,0,1,1,32,,
Chícharo crudo con vaina,22,1.5,4,0,0.1,0,1,1,28,,
Chícharo en vaina cocido,21,1.7,3.4,0,0.1,0,1,1,53,,
Chicoria cruda,24,1.4,4.1,0,0.2,0,1,1,120,,
Chilacas crudas,24,1.1,5.5,0,0.2,0,1,1,76,,
Chilacayote crudo,19,1.6,3.6,0,0.3,0,1,1,135,,
Chile chilaca,20,0.8,3.7,0,0.2,0,1,1,50,,
Chile chipotle seco,25,1,4.2,0,0.5,0,1,1,7,,
Chile costeño,17,0.9,3.9,0,0.1,0,1,1,54,,
Chile cristalino,20,0.9,3.9,0,0.1,0,1,1,54,,
Chile cuaresmeño,16,0.8,3.7,0,0.2,0,1,1,50,,
Chile de árbol seco,21,0.9,4.3,0,0.4,0,1,1,7,,
Chile habanero,25,1.5,3.6,0,0.5,0,1,1,67,,
Chile jalapeño,23,1.1,4.6,0,0.5,0,1,1,78,,
Chile poblano,20,1.1,4.4,0,0.3,0,1,1,43,,
Chiles secos,23,0.8,4.3,0,0.7,0,1,1,7,,
Cilantro picado crudo,24,2.2,3.9,0,0.5,0,1,1,105,,
Clavito (hongo) crudo,28,4.3,3.8,0,0.4,0,1,1,71,,
Col cocida picada,17,1,4.1,0,0,0,1,1,75,,
Col cruda picada,20,1,4.5,0,0.2,0,1,1,84,,
Col morada cruda picada,17,0.8,4.1,0,0.1,0,1,1,56,,
Colecita de Bruselas cocida,23,1.6,4.5,0,0.3,0,1,1,63,,
Coliflor cocida,21,1.7,3.9,0,0.4,0,1,1,94,,
Coliflor cruda,20,1.6,4.2,0,0.1,0,1,1,80,,
Coliflor verde cocida,22,2.1,4.2,0,0.2,0,1,1,68,,
Coliflor verde cruda,21,2,4.2,0,0.2,0,1,1,68,,
