Nombre, Tipo
TORTITAS DE KIBI,1
PESCADO A LA YUCATECA,1
POZOLE,1
CEVICHE DE PESCADO,1
PUERCO DESHEBRADO CON PAPAS,1
POLLO EN SALSA DE POBLANO,1
ENCHILADAS DE MOLE,1
FAJITAS PRIMAVERA,1
FRIJOLES CHARROS,1
ESPAGUETI A LA BOLOGNESA,1
ESPAGUETI A LA BOLOGNESA POLLO,1
PESCADO EMPAPELADO,1
POC CHUC,1
POLLO ASADO ,1
ARROZ CHINO CON POLLO,1
BROCHETAS DE POLLO,1
ALBÓNDIGAS AL CHIPOTLE,1
SOUFLÉ DE PAPA,1
POLLO ALMENDRADO,1
PUERCO EN SALSA VERDE,1
TORTITAS ENTOMATADAS,1
CALDO TLALPEÑO,1
CHILES RELLENOS DE POLLO CON SALSA DE ELOTE,1
POLLO EN MOLE,1
FRIJOL CON PUERCO,1
ENSALADA DE POLLO,1
TINGA DE POLLO,1
PECHUGA EN SALSA VERDE,1
PICADILLO A LA JARDINERA,1
BISTEC A LA MEXICANA,1
SOUFLÉ DE ARROZ CON POLLO,1
CHICHARRA LIGHT,1
ALBÓNDIGAS CON FIDEOS,1
ENCHILADAS VERDES,1
ALAMBRE DE POLLO,1
ESPAGUETI A LA CARBONARA,1
CHILI CON CARNE,1
SOPA DE POLLO CON VERDURAS,1
CARNE A LA YUCATECA,1
POLLO KENTUCKY,1
PECHUGA A LAS FINAS HIERBAS,1
POLLO EN ESCABECHE,1
ROLLO DE CARNE,1
PESCADO A LA PLANCHA,1
KIBI DE POLLO AL HORNO,1
ENSALADA DE ATÚN,1
POLLO DESHEBRADO CON PAPAS,1
POLLO A LA PLANCHA CON TOCINO,1
MACARRONES CON QUESO,1
PICADILLO CAMPESTRE,1
POLLO EN CHÍCHAROS,1
POLLO ORIENTAL,1
ENSALADA MAR Y TIERRA,1
CROQUETAS DE PAPA,1
PECHUGA A LA MEXICANA,1
HUEVOS MOTULEÑOS,1
BISTEC DE CAZUELA,1
POLLO EN SALSA VERDE,1
PICADILLO A LA JARDINERA DE POLLO,1
TORTITAS DE CARNE A LA PLANCHA (CERDO),1
TORTITAS DE CARNE A LA PLANCHA (POLLO),1
PECHUGA EMPANIZADA,1
PECHUGAS PARMESANAS,1
MILANESA ROJA,1
TORTITAS DE POLLO ENTOMATADAS,1
POTAJE DE LENTEJAS,1
PECHUGA EN SALSA DE CHAMPIÑONES,1
CALABACITAS CON PUERCO,1
GUISADO DE NOPALES CON QUESO,1
GUISADO DE NOPALES CON POLLO,1
PAELLA,1
BUT BLANCO,1
BUT NEGRO,1
RELLENO BLANCO,1
RELLENO NEGRO,1
PECHUGA EN SALSA DE TAMARINDO,1
TACOS DORADOS,1
CALABACITAS CON POLLO (PECHUGA),1
CALABACITAS CON POLLO ,1
POLLO PIBIL,1
CHILES RELLENOS DE PICADILLO (POLLO),1
COCHINITA PIBIL,1
NACHOS,1
PECHUGA ASADA ROJA,1
PECHUGA A LA PLANCHA,1
POLLO ADOBADO CON PAPAS,1
PESCADO EMPANIZADO,1
POLLO CON EJOTES,1
